YoutubeVideoID, GeniusURL

CrxgiNsN0vQ,Lewis-capaldi-forever-lyrics
jDw6Dm5DQ-M,Sabrina-carpenter-please-please-please-lyrics
OblL026SvD4,Paramore-still-into-you-lyrics
8a3WLP7iPj4,Lewis-capaldi-wish-you-the-best-lyrics
kPa7bsKwL-c,Lady-gaga-and-bruno-mars-die-with-a-smile-lyrics
P6OgpKqb-HA,Clean-bandit-anne-marie-and-david-guetta-cry-baby-lyrics
7QCn2Jn1sPY,Carrie-underwood-just-as-i-am-lyrics
DfCdkyQyaJ8,Ariana-grande-last-christmas-lyrics
65U5Ty5oq9Y,Elton-john-can-you-feel-the-love-tonight-lyrics
HlNGI4LbAto,Lewis-capaldi-pointless-lyrics
Yi1ekvsUd5A,Lewis-capaldi-pointless-lyrics
ru_eda3Cuuc,The-goo-goo-dolls-iris-lyrics
G945nUyphEY,Olivia-rodrigo-traitor-lyrics
yCxolyS3uIY,Noah-kahan-stick-season-lyrics
DYm4uh1CG28,The-kid-laroi-and-justin-bieber-stay-lyrics
6TAudTz4hrA,Monica-angel-of-mine-lyrics
E8gmARGvPlI,Wham-last-christmas-lyrics
WtpbYCwU50w,Shane-filan-beautiful-in-white-lyrics
-_WNOkUBCvc,Ariana-grande-god-is-a-woman-lyrics
9OUeA0Sg48k,Teddy-swims-lose-control-lyrics
48EIv5DNJlQ,Paramore-still-into-you-lyrics
asTYezy8GSA,Harry-styles-as-it-was-lyrics
d4phxTi1pVw,The-weeknd-and-ariana-grande-save-your-tears-remix-lyrics
oFRIda79u_E,Teddy-swims-lose-control-lyrics
-JZkykeQJek,Adele-easy-on-me-lyrics
rUCaAZHdvDg,Ryann-darling-i-choose-you-lyrics
eDTNian0I-Q,Cyndi-lauper-time-after-time-lyrics
zdOKyJd8pm8,Olivia-rodrigo-drivers-license-lyrics
-BVCWbpd8wI,Ed-sheeran-bad-habits-lyrics
H594FzavVjY,Calum-scott-dancing-on-my-own-lyrics
w79qlLPsaPk,Janet-devlin-honest-men-lyrics
mjvF3uxMXwM,Lewis-capaldi-before-you-go-lyrics
m6J5fkzbKzE,Ed-sheeran-perfect-lyrics
Wkcd5R_0qWw,Meghan-trainor-like-im-gonna-lose-you-lyrics
s37x2VSZrLw,The-weeknd-save-your-tears-lyrics
HTcL9WkB_wg,Passenger-let-her-go-lyrics
SmOrhq_m0ZI,Olivia-rodrigo-traitor-lyrics
wqSPykG8i_g,John-denver-take-me-home-country-roads-lyrics
GxldQ9eX2wo,Stephen-sanchez-until-i-found-you-lyrics
i_yLpCLMaKk,Charlie-puth-we-dont-talk-anymore-lyrics
TP1xs1hF2ZE,Anne-marie-2002-lyrics
5GFtYgFRkx4,One-direction-night-changes-lyrics
